T23,"Production, trade and supply of energy",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
142,Asia,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"14,554",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"19,918",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"24,054",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,1995,Changes in stocks (petajoules),672,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2000,Changes in stocks (petajoules),-720,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2005,Changes in stocks (petajoules),-368,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2010,Changes in stocks (petajoules),"1,657",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2015,Changes in stocks (petajoules),-15,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2018,Changes in stocks (petajoules),"1,939",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2019,Changes in stocks (petajoules),"1,882",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2020,Changes in stocks (petajoules),"3,177",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,1995,Total supply (petajoules),"123,558",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2000,Total supply (petajoules),"140,279",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2005,Total supply (petajoules),"181,863",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
