T23,"Production, trade and supply of energy",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
410,Republic of Korea,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"6,863",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"8,752",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"9,371",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"9,989",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"9,783",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"9,299",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,1995,Changes in stocks (petajoules),115,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2000,Changes in stocks (petajoules),71,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2005,Changes in stocks (petajoules),-179,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2010,Changes in stocks (petajoules),117,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2015,Changes in stocks (petajoules),68,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2018,Changes in stocks (petajoules),37,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2019,Changes in stocks (petajoules),37,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2020,Changes in stocks (petajoules),-81,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,1995,Total supply (petajoules),"6,121",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2000,Total supply (petajoules),"7,912",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2005,Total supply (petajoules),"8,822",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2010,Total supply (petajoules),"10,498",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2015,Total supply (petajoules),"11,426",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2018,Total supply (petajoules),"11,815",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2019,Total supply (petajoules),"11,735",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2020,Total supply (petajoules),"11,549",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,1995,Supply per capita (gigajoules),135,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2000,Supply per capita (gigajoules),169,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2005,Supply per capita (gigajoules),184,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2010,Supply per capita (gigajoules),215,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2015,Supply per capita (gigajoules),224,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2018,Supply per capita (gigajoules),229,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2019,Supply per capita (gigajoules),227,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
410,Republic of Korea,2020,Supply per capita (gigajoules),223,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,1995,Primary energy production (petajoules),4,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2000,Primary energy production (petajoules),3,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2005,Primary energy production (petajoules),4,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2010,Primary energy production (petajoules),8,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2015,Primary energy production (petajoules),28,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2018,Primary energy production (petajoules),35,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2019,Primary energy production (petajoules),30,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2020,Primary energy production (petajoules),29,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,1995,Net imports [Imports - Exports - Bunkers] (petajoules),184,Estimate.;Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2000,Net imports [Imports - Exports - Bunkers] (petajoules),64,Estimate.;Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2005,Net imports [Imports - Exports - Bunkers] (petajoules),85,Estimate.;Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2010,Net imports [Imports - Exports - Bunkers] (petajoules),80,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2015,Net imports [Imports - Exports - Bunkers] (petajoules),81,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2018,Net imports [Imports - Exports - Bunkers] (petajoules),91,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2019,Net imports [Imports - Exports - Bunkers] (petajoules),90,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2020,Net imports [Imports - Exports - Bunkers] (petajoules),87,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,1995,Changes in stocks (petajoules),2,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2000,Changes in stocks (petajoules),0,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2005,Changes in stocks (petajoules),0,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2010,Changes in stocks (petajoules),-2,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2015,Changes in stocks (petajoules),0,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2018,Changes in stocks (petajoules),0,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2019,Changes in stocks (petajoules),0,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2020,Changes in stocks (petajoules),1,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,1995,Total supply (petajoules),186,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2000,Total supply (petajoules),66,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2005,Total supply (petajoules),89,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2010,Total supply (petajoules),91,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2015,Total supply (petajoules),109,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2018,Total supply (petajoules),126,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2019,Total supply (petajoules),119,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2020,Total supply (petajoules),115,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,1995,Supply per capita (gigajoules),42,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2000,Supply per capita (gigajoules),16,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2005,Supply per capita (gigajoules),22,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2010,Supply per capita (gigajoules),25,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2015,Supply per capita (gigajoules),33,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2018,Supply per capita (gigajoules),40,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2019,Supply per capita (gigajoules),38,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
498,Republic of Moldova,2020,Supply per capita (gigajoules),37,Data exclude Transnistria and the municipality of Bender.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,1995,Primary energy production (petajoules),9,Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,2000,Primary energy production (petajoules),7,Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,2005,Primary energy production (petajoules),7,Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,2010,Primary energy production (petajoules),8,Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,1995,Net imports [Imports - Exports - Bunkers] (petajoules),23,Estimate.;Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,2000,Net imports [Imports - Exports - Bunkers] (petajoules),36,Estimate.;Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,2005,Net imports [Imports - Exports - Bunkers] (petajoules),44,Estimate.;Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,2010,Net imports [Imports - Exports - Bunkers] (petajoules),50,Estimate.;Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,1995,Changes in stocks (petajoules),0,Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,2000,Changes in stocks (petajoules),1,Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,2005,Changes in stocks (petajoules),1,Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,2010,Changes in stocks (petajoules),0,Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,1995,Total supply (petajoules),31,Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,2000,Total supply (petajoules),42,Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,2005,Total supply (petajoules),49,Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,2010,Total supply (petajoules),58,Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,1995,Supply per capita (gigajoules),43,Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,2000,Supply per capita (gigajoules),54,Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,2005,Supply per capita (gigajoules),59,Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
638,Réunion,2010,Supply per capita (gigajoules),65,Data after 2010 are included in France.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,1995,Primary energy production (petajoules),"1,335",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2000,Primary energy production (petajoules),"1,194",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2005,Primary energy production (petajoules),"1,173",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2010,Primary energy production (petajoules),"1,155",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2015,Primary energy production (petajoules),"1,116",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2018,Primary energy production (petajoules),"1,053",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2019,Primary energy production (petajoules),"1,031",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2020,Primary energy production (petajoules),941,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,1995,Net imports [Imports - Exports - Bunkers] (petajoules),591,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2000,Net imports [Imports - Exports - Bunkers] (petajoules),331,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2005,Net imports [Imports - Exports - Bunkers] (petajoules),446,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2010,Net imports [Imports - Exports - Bunkers] (petajoules),311,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2015,Net imports [Imports - Exports - Bunkers] (petajoules),217,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2018,Net imports [Imports - Exports - Bunkers] (petajoules),342,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2019,Net imports [Imports - Exports - Bunkers] (petajoules),421,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2020,Net imports [Imports - Exports - Bunkers] (petajoules),382,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,1995,Changes in stocks (petajoules),2,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2000,Changes in stocks (petajoules),-8,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2005,Changes in stocks (petajoules),-7,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2010,Changes in stocks (petajoules),-7,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2015,Changes in stocks (petajoules),-7,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2018,Changes in stocks (petajoules),-16,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2019,Changes in stocks (petajoules),55,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2020,Changes in stocks (petajoules),-32,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,1995,Total supply (petajoules),"1,925",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2000,Total supply (petajoules),"1,532",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2005,Total supply (petajoules),"1,626",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2010,Total supply (petajoules),"1,474",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2015,Total supply (petajoules),"1,341",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2018,Total supply (petajoules),"1,411",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2019,Total supply (petajoules),"1,397",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2020,Total supply (petajoules),"1,355",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,1995,Supply per capita (gigajoules),85,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2000,Supply per capita (gigajoules),70,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2005,Supply per capita (gigajoules),77,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2010,Supply per capita (gigajoules),72,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2015,Supply per capita (gigajoules),67,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2018,Supply per capita (gigajoules),72,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2019,Supply per capita (gigajoules),72,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
642,Romania,2020,Supply per capita (gigajoules),70,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,1995,Primary energy production (petajoules),"40,589",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2000,Primary energy production (petajoules),"41,030",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2005,Primary energy production (petajoules),"50,506",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2010,Primary energy production (petajoules),"53,679",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2015,Primary energy production (petajoules),"56,024",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2018,Primary energy production (petajoules),"62,422",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2019,Primary energy production (petajoules),"64,239",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2020,Primary energy production (petajoules),"60,041",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,397",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-14,842",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-22,870",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-24,601",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-27,007",Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-29,521",Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-32,178",Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-28,849",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,1995,Changes in stocks (petajoules),472,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2000,Changes in stocks (petajoules),195,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2005,Changes in stocks (petajoules),298,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2010,Changes in stocks (petajoules),147,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2015,Changes in stocks (petajoules),75,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2018,Changes in stocks (petajoules),-325,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2019,Changes in stocks (petajoules),461,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2020,Changes in stocks (petajoules),-260,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,1995,Total supply (petajoules),"26,720",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2000,Total supply (petajoules),"25,994",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2005,Total supply (petajoules),"27,338",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2010,Total supply (petajoules),"28,932",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2015,Total supply (petajoules),"28,943",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2018,Total supply (petajoules),"33,226",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2019,Total supply (petajoules),"31,599",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2020,Total supply (petajoules),"31,453",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,1995,Supply per capita (gigajoules),180,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2000,Supply per capita (gigajoules),177,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2005,Supply per capita (gigajoules),190,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2010,Supply per capita (gigajoules),202,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2015,Supply per capita (gigajoules),200,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2018,Supply per capita (gigajoules),228,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2019,Supply per capita (gigajoules),217,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
643,Russian Federation,2020,Supply per capita (gigajoules),216,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,1995,Primary energy production (petajoules),48,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2000,Primary energy production (petajoules),46,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2005,Primary energy production (petajoules),63,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2010,Primary energy production (petajoules),76,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2015,Primary energy production (petajoules),86,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2018,Primary energy production (petajoules),88,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2019,Primary energy production (petajoules),88,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2020,Primary energy production (petajoules),89,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,1995,Net imports [Imports - Exports - Bunkers] (petajoules),7,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
